kanji_or_vocab, kun'yomi, on'yomi, meaning
拭く, ふく, , to wipe
置く, おく, , to put/to place
あげる, あげる, , to give
こう, こう, , like this/this kind of
字, じ, , character/letter
小さい, ちいさい, , small
読む, よむ, , to read
学校, がっこう, , school
時半, じはん, , half past
くれる, くれる, , to be given
誕生日, たんじょうび, , birthday
起きる, おきる, , get up/out of bed/occur
毎, まい, , every
朝, あさ, , morning
忙しい, いそがしい, , busy/hectic
春, はる, , spring
暖かい, あたたかい, , warm
時, じ, とき/どき, time
切手, きって, , stamp
郵便, ゆうびん, , postal service
局, きょく, , bureau
郵便局, ゆうびんきょく, , post office
別, べつ, , another/different
終わる, おわる, , finish/end
会議, かいぎ, , conference
若い, わかい, , young
好き, すき, , well-liked
絵, え, , picture
かなり, , , fairly/rather
上手, じょうず, , good at
英語, えいご, , English
いす, , , chair
住む, すむ, , live/reside
会社, かいしゃ, , office
戻る, もどる, , return/turn back
遊び, あそび, , play/recreation
位, くらい, , crown/position/level/rank
働く, はたらく, , to work
後, あと, , after
映画, えいが, , movie
先生, せんせい, , teacher
立つ, たつ, , stand/rise
気, き, , spirit/temperament
意外, いがい, , unexpected
呼ぶ, よぶ, , call/name
ウェイター, , ウェイター, waiter
自身, じしん, , oneself
自分, じぶん, , myself/yourself/oneself
一切, いっさい, , all/everything/absolutely
以上, , イジョウ, not less than/at least
来月, , ライゲツ, next month
来年, , ライネン, next year
以来, , イライ, since/henceforth
本人, , ホンニン, the person themself
お寺, おてら, , hotel
気持ち, きもち, , feeling/sensation
飛ぶ, とぶ, , to fly
鳥, とり, , bird
弟, おとうと, , younger brother
変える, かえる, , to change
広い, ひろい, , wide/big
意味, いみ, , meaning
数, かず, , several/a number of
足ります, たります, , to be sufficient
近い, ちかい, , soon
走る, はしる, , to run
毎晩, まいばん, , every night
売る, うる, , to sell
教える, おしえる, , teach/tell
数学, すうがく, , math
歩く, あるく, , walk
直ぐ, すぐ, , soon
会う, あう, , to meet
部屋, へや, , room
階, かい, , floor
起こる, おこる, , to happen
町, まち, , town
事件, じけん, , incident
秋, あき, , autumn
難しい, むずかしい, , difficult
送る, おくる, , send
荷物, にもつ, , package
死ぬ, しぬ, , to die
乗る, のる, , ride/take
安い, やすい, , cheap
服, ふく, , clothe
書く, かく, , write
手紙, てがみ, , letter
話す, はなす, , speak/tell
母, はは, , mother
電話, でんわ, , telephone
頭, あたま, , head
体, からだ, , body
丈夫, じょうぶ, , strong/healthy
ここ, ここ, , here
待つ, まつ, , to wait
低い, ひくい, , short
背, せ, , stature/height
もらう, もらう, , to receive
食べる, たべる, , to eat
昨日, きのう, , yesterday
早い, はやい, , early
兄, あに, , older brother
水泳, すいえい, , swimming
得意, とくい, , good at
名前, なまえ, , name
夫, おっと, , hubby
結婚, けっこん, , marriage
親, おや, , parent
愛, あい, , love
有り難い, ありがたい, , grateful
古い, ふるい, , old
美しい, うつくしい, , beautiful
足, あし, , leg/foot
次, つぎ, ジ, next
起こす, おこす, , to wake up
見せる, みせる, , to show
写真, しゃしん, , picture
娘, むすめ, , daughter
少し, すこし, , a bit/a while
ついて, ついて, , about/concerning
疲れ, つかれ, , tiredness
疲れる, つかれる, , to tire
質問, しつもん, , question
楽しむ, たのしむ, , to enjoy
色, いろ, , color
素敵, すてき, , lovely/wonderful
お菓子, おかし, , sweets
取る, とる, , to take/get
点, てん, , grade
出来る, できる, , can do/be good at
短い, みじかい, , short/brief
落ちる, おちる, , to fall/sink
猿, さる, エン, monkey
木, き, モク, tree
落, おち/おとす, ラク, fall/village/
息子, むすこ, , son
休む, やすむ, , to be absent/take a day off
休養, きゅうよう, , rest/break
仲介, ちゅうかい, , agency
１年生, いちねんせい, , first-year student
歯, は, シ, teeth
方, かた, ホウ, direction/person/alternative/-manner of
いつも, いつも, , always
飛行機, ひこうき, , airplane
おもちゃ, おもちゃ, , toy
勝つ, かつ, , to win
病気, びょうきん, , illness
祖父, そふ, , grandfather
冬, ふゆ, , winter
寒い, さむい, , cold
年, とし, ネン, year
重い, おもい, , heavy
胸, むね, キョウ, chest
雑誌, ざっし, , magazine
払う, はらう, , to pay
軽い, かるい, , light/lightweight
靴, くつ, , shoe
見つける, みつける, , to find
忘れる, わすれる, , to forget/leave behind
意見, いけん, , opinion
言い争う, いいあらそう, , quarrel
あまり, あまり, , not much
理由, りゆう, , reason
約束, やくそく, , promise
許されない恋, ゆるされない, , unforgivable
どんな理由であれ, , , for whatever reason
最後, さいご, , last
悲しい, かなしい, , sad
よりも, よりも, , compared to
道, みち, , road
西, にし, , west
方向, ほうこう, , direction
世の中, よのなか, , world/society
ところ, ところ, , by the way
途中, とちゅう, , on the way
若し, もし, , if
若しかして, もしかして, , perhaps/by any chance/in case
押す, おす, , to press
きっと, きっと, , surely
礼, れい, , thanks
自体, じたい, , itself
色んな, いろんな, , various
他人, たにん, , another person
比べる, くらべる, , to compare
すれば, すれば, , if
ありのまま, ありのまま, , as is
性格, せいかく, , personality
そろそろ, そろそろ, , gradually
大切, たいせつ, , important
覚える, おぼえる, , to memorize/remember
心, こころ, , heart
心配, しんぱい, , worry/concern
酒, さけ, , sake
強い, つよい, , strong
どちら, どちら, , which
肉, にく, , meat
魚, さかな, , fish
姉, あね, , older sister
銀行, ぎんこう, , bank
妹, いもうと, , little sister
全部, ぜんぶ, , all
狭い, せまい, , narrow/limited
建てる, たてる, , to build/erect
赤い, あかい, , red
着る, きる, , to wear/put on
城, しる, じょう, castle
父, ちち, , father
しかし, しかし, , however
遺志, いし, , dying wish
世界, せかい, , the world
ほとんど, ほとんど, , almost
人々, ひとびと, , people
其のまま, そのまま, , as is/just like/immediately
それだけ, それだけ, , that much/to that extent
何としても, なんとしても, , by any means necessary
仲間, なかま, , companion
武器, ぶき, , weapon
防具, ぼうぐ, , protective equipment
笑う, わらう, , to smile
赤ん坊, あかんぼう, , baby
授業, じゅぎょう, , class/lesson
週, しゅう, , week
漢字, かんじ, , kanji
自転車, じてんしゃ, , bicycle
通学, つうがく, , commuting to school/-suru verb
探す, さがす, , to search
あいてますか, あいてますか, , are you free?
紙, かみ, , paper
鉛筆, えんぴつ, , pencil
歌う, うたう, , to sing
声, こえ, , voice
遅い, おそい, , slow/late
前, まえ, , front
首, くび, , neck
きりん, きりん, , giraffe
一緒に, いっしょに, , together
日記, にっき, , diary
付ける, つける, , to add/attach/wear
今月, こんげつ, , this month
遊ぶ, あそぶ, , to play
公園, こうえん, , park
遠い, とおい, , far/distant
弱い, よわい, , weak
座る, すわる, , to sit
窓, まど, , window
席, せき, , seat
浴びる, あびる, , to take a shower
聞こえる, きこえる, , to be heard
窓側, まどがわ, , window-side
側, かわ/そば, ソク, lean/side/oppose/regret
肩, かた, , shoulder
凝る, こる, , to become stiff
飲む, のむ, , to drink
寝る, ねる, , to sleep
消す, けす, , to switch off
電気, でんき, , electricity
電, でん, , electricity
昼, ひる, , daytime/noon
間, ま/あいだ, カン/ケン, interval/space
速い, はやい, , fast
立派, りっぱ, , splendid/handsome
調べる, しらべる, , to examine
旅人, たびびと, , traveler
宿屋, やどや, , inn
晩, ばん, , night/evening/late
元気, げんき, , healthy/energetic
おかげさまで, おかげさまで, , thankfully
負ける, まける, , to lose
試合, しあい, , match/game
去年, きょねん, , last year
引く, ひく, , to draw/pull
図書館, としょかん, , library
曜日, ようび, , weekday
借りる, かりる, , to borrow
料理, りょうり, , cooking
理, ことわり, リ, logic/arrangement/reason
上げる, あげる, , to raise/improve
緑, みどり, , green/foliage
腕, うで, , arm
太い, ふとい, , plump/thick/fat
開ける, あける, , to open/unpack/unlock
主張, しゅちょう, , insistence/assertion
受け, うけ, , popularity/favor/reception
記録, きろく, , record/documentation
年度, ねんど, , school year
売り上げ, うりあげ, , sales
によって, によって, , according to
違う, ちがう, , to differ
産業, さんぎょう, , industry
背景, はいけい, , background/scenery
材料, ざいりょう, , ingredient
閉じる, とじる, , to close/shut
教科書, きょうかしょ, , textbook
教, おしえる/おそわる, キョウ, teach/faith/doctrine
経つ, たつ, , to elapse
米, こめ/よね, ベイ/マイ/メエトル, rice/USA/meter
半分, はんぶん, , half
線, せん, , line
決まる, きまる, , to be decided
大抵, たいてい, , usually
後ろ, うしろ, , behind
嬉しい, うれしい, , happy
日程, にってい, , schedule
腰, こし, , hip/lower back
海, うみ, , sea/ocean/waters
お母さん, おかあさん, , mother
よろしくお伝え, よろしくおつたえ, , give regards
留学生, りゅうがくせい, , foreign student
夏, なつ, , summer
手伝う, てつだう, , to help/assist
鼻, はな, , nose
痒い, かゆい, , itchy
近所, きんじょ, , neighborhood
盗難, とうなん, , theft
熱い, あつい, , hot(to touch)
載せる, のせる, , to place
皿, さら, , plate
愛する, あいする, , to love/care for
家族, かぞく, , family
喋る, しゃべる, , to talk/chat
易しい, やさしい, , easy
甘い, あまい, , sweet
イチゴ, いちご, , strawberry
食べ物, たべもの, , food
美味しい, おいしい, , delicious
長い間, ながいあいだ, , for a long time
しかない, しかない, , there is nothing but/no more
決して, けっして, , (not) at all/(not) ever
悪い, わるい, , bad
・と・(と)の間, , , relationship between/space between
方がいいです, ほうがいいです, , it is better to
指, ゆび, , finger
小指, こゆび, , little finger
良かった, よかった, , that is good
最悪, さいあく, , the worst
殴る, なぐる, , to hit
平, ひら, , flat
べき, べき, , should
かもしらない, かもしれない, , may be/perhaps
しまった, しまった, , crikey
数える, かぞえる, , to count
天気, てんき, , weather
暑い, あつい, , hot (temperature of air)
要らな, いらな, , needless
ともかく, ともかく, , anyway
夜, よる, , night
やがて, やがて, , soon
ーば ,ーば, , conditioned on sth.
この前, このまえ, , recently
こっそり, こっそり, , secretly
抜け出す, ぬけだす, , to slip out/break free
ーたら, ーたら, , if/when/after sth. happens
神, かみ, , god/spirit
信じる, しんじる, , to believe
本当, ほんとう, , genuine
連れる, つれる, , to bring along
（の）なら, , , if
十分, じゅうぶん, , enough/sufficient/plenty
つもり, つもり, , intention/plan
者, もの, しゃ, person/-er
冒険, ぼうけん, , adventure
酒場, さかば, , bar
希望, きぼう, , hope/wish
特別, とくべつ, , special
種, たね, , seed/kind/tone
など, など, , for example/etc./things like
いくつ, いくつ, , how many?
いくつか, いくつか, , several
そのとき, そのとき, , at that time
気分, きぶん, , mood
回, かい, , denotes count
よろしい, よろしい, , good/all right
袋, ふくろ, , bag/sack/pouch
道具, どうぐ, , tool/means
具, , グ, tool/ingredient/instrument
具合, ぐあい, , health/condition
備える, そなえる/つぶらに, ビ, equip/provision/preparation
ご用, ごよう, , (your) business/concern/need
求め, もとめ, , request/claim/purchase
持ち, もち, , owner
必要, ひつよう, , necessary/essential
失, うしなう/うせる, シツ, fault/error/lose/disadvantage
痛い, いたい, , painful
お父さん, おとうさん, , father
会社員, かいしゃいん, , company employee
多分, たぶん, , probably/perhaps
時計, とけい, , clock/watch
ちょうど, ちょうど, , exactly
たら, たら, , if/when/after
泣く, なく, , to cry
掛ける, かける, , to hang
掛, かけ, カイ/ケイ, hang/suspend/depend/tax/arrive at/pour
曲がる, まがる, , to turn
左, ひだり, , left
いかれる, , , to become broken
気遣い, きずかい, , concern
まちがいない, , , you can bet on it
おせー, , , you are late
切り落とす, きりおとす, , to cut off/lop off/prune
大会, たいかい, , mass meeting/tournament/conference
やつら, , , those guys
おなか, おなか, , stomach
閉める, しめる, , to close/shut
ちゃんと, ちゃんと, , properly/decisively
嫌い, きらい, , disliked
要る, いる, , to require
予約, よやく, , reservation
無い, ない, , to not be
黄色い, きいろい, , yellow
風, かぜ, , wind/manner/cold(influenza)
それぞれ, , , each/respectively
けいけんち, , , amount of experience/experience point
獲得, かくとく, , acquisition
さらに, , , furthermore
教会, きょうかい, , church
優しい, やさしい, , gentle/kind
晴れる, はれる, , be sunny/clear up
茶色, ちゃいろ, , light brown
履く, はく, , to wear(lower body/pants/skirt/etc.)
汚い, きたない, , dirty
空く, すく, , to be empty
上る, のぼる, , to go up
猫, ねこ, , cat
屋根, やね, , roof
毛, け, モウ, fur/hair/feather/down
伸びる, のびる, , to stretch/extend/grow(of hair)
つける, , , to switch on
開く, ひらく, , to open
片仮名, かたかな, , katakana
平仮名, ひらがな, , hiragana
閉まる, しまる, , to be closed
お店, おみせ, , shop
締まる, しまる, , to tighten/fasten
まずい, , , bad-tasting/bad
曇る, くもる, , to become cloudy
昼頃, ひるごろ, , about noon
触る, さわる, , to touch/feel
駄目, だめ, , no good
書き直す, かきなおす, , to rewrite
書類, しょるい, , document
先月, せんげつ, , last month
着く, つく, , to arrive
非常識, ひじょうしき, , lack of common sense
間違える, まちがえる, , to err
そば, そば, , side/vicinity
悔しい, くやしい, , regrettable/annoying
やばい, , , dangerous/risky
危ない, あぶない, , dangerous/risky
びっくり, , , to be surprised/frightened
ぼんやり, , , absent-minded/dimly/indistinctly
渇く, かわく, , to be thirsty
喉, のど, , throat
バイト, ばいと, , part-time job
学ぶ, まなぶ, , to study
気を付けて, きをつけて, , be careful
捕まる, つかまる, , to be arrested/caught
知らせる, しらせる, , to inform
ばかり, , , nothing but
お姉さん, おねえさん, , older sister
直る, なおる, , to be repaired/return to normal
問題, もんだい, , question
問題ない, もんだいない, , no problem
辺, へん, , vicinity
外, そと, , outside
増える, ふえる, , to increase
専門, せんもん, , expert/specialty
危険, きけん, , danger/hazard
よう, , , way/kind
眠い, ねむい, , sleepy
お兄さん, おにいさん, , older brother
歳, さい, , years old
辛い, からい, , spicy/salty
個, こ, , counter for articles
届く, とどく, , to reach/touch/be delivered/arrive
あそこ, , , over there
バス停, ばすてい, , bus stop
かかる, かかる, , to take(a resource)
昼過ぎ, ひるすぎ, , just after noon
５日, いつか, , five days/fifth day of the month
祝日, しゅくじつ, , holiday
一杯, いっぱい, , full
野球, やきゅう, , baseball
酸っぱい, すっぱい, , sour
ぶどう, ぶどう, , grape
緊急, きんきゅう, , emergency/urgency
事態, じたい, , situation/state of affairs
宣言, せんげん, , declaration
回目, かいめ, , -th time
気温, きおん, , air temperature
地球, ちきゅう, , earth (globe)
総理, そうり, , prime minister
頑張る, がんばる, , to persevere
技術, ぎじゅつ, , technology
協力, きょうりょく, , cooperation/collaboration
悪口, わるくち, , insult/slander/abuse
選手, せんしゅ, , player(sports)/athlete
亡くなる, なくなる, , to die
番組, ばんぐみ, , programme(TV)
悩む, なやむ, , to be worried/troubled
罰, ばつ, , punishment
厳しい, きびしい, , strict/severe
答え, こたえ, , answer
細い, ほそい, , thin/slender/narrow
ために, , , for the sake of
高校生, こうこうせい, , high-schooler
宇宙, うちゅう, , space
飛行士, ひこうし, , pilot
国際, こくさい, , international
出発, しゅっぱつ, , departure
船, ふね/ふな-, セン, boat/ship
迎える, むかえる, , to receive/welcome/go out to meet
組む, くむ, , to cross(arms or legs)/to link (arms)/to assemble
予定, よてい, , plans/arrangement/schedule
船長, せんちょう, , ship's captain
人目, ひとめ, , public gaze
(number)人目, , , (number-th) person
二十日, はつか, , 20 days/20th of the month
趣味, しゅみ, , hobby
年寄り, としより, , old person/elderly person
医科歯科, いかしか, , medical and dental college
研究, けんきゅう, , research
有る, ある, , exist/possess
良い, いい, , good
桃, もも, , peach
机, つくえ, , desk
動く, うごく, , to move
関係, かんけい, , relationship/connection/participation/influence/sexual relations
万, まん, , 10000
県, けん, , prefecture
-%低く, -%ひくく, , -% lower
可能性, かのうせい, , probability/likelihood
囲碁, いご, , go(game)
将棋, しょうぎ, , shogi
他, ほか, タ, other(place/thing/person)/outside/beyond
場合, ばあい, , case/situation
脳, のう, , brain/mind
刺激, しげき, , stimulus/impetus/incentive/encouragement
散歩, さんぽ, , walk/stroll
簡単, かんたん, , simple/easy/uncomplicated/brief/quick/light
建物, たてもの, , building
弟, おとうと, , younger bro
男, おとこ, , man
会場, かいじょう, , assembly hall/grounds/venue
広げる, ひろげる, , to spread/extend/unfold
方法, ほうほう, , method/process
受ける, うける, , to get/receive/undergo/catch(e.g. a ball)
検査, けんさ, , inspection(e.g. customs/factory)/examination/scan
外国, がいこく, , foreign country
ぐらい/くらい, , , about
計画, けいかく, , schedule/plan/project
頼む, たのむ, , to request/ask
練習, れんしゅう, , practice
病院, びょういん, , hospital
所, ところ, , place
どうしたらいい, , , what to do best
上旬, じょうじゅん, , first 10 days of month
話しかける, はなしかける, , to address(someone)/to accost a person/to talk(to someone)
大人, おとな, , adult
お願い, おねがい, , favor
店員, てんいん, , sales clerk
金, かね, , money
綺麗, きれい, , pretty/beautiful
熱中症, ねっちゅうしょう, , heatstroke
警戒, けいかい, , precaution/vigilance/alertness
気象庁, きしょうちょう, , japanese meteorological agency
運ぶ, はこぶ, , to carry/transport/convey/come/go
地方, ちほう, , region/district/area
教室, きょうしつ, , classroom
恥ずかしい, はずかしい, , embarrassing
家庭, かてい, , household
生徒, せいと, , pupil/schoolchild
市, し, , city
区, く, , ward/district
怖い, こわい, , scary
財布, さいふ, , purse
出す, だす, , to take out/reveal/publish
花, はな, , flowers
咲く, さく, , to bloom/blossom
一日, ついたち, , 1st of the month
妻, つま, , wife
冷たい, つめたい, , cold (to the touch)
遅刻, ちこく, , tardiness/lateness
生まれる, うまれる, , to be born
孫, まご, , grandchild
理系, りけい, , science
文系, ぶんけい, , humanities
芸術, げいじゅつ, , fine arts
運動, うんどう, , exercise
雑学, ざつがく, , trivia
根性, こんじょう, , guts
容姿, ようし, , appearance
最新, さいしん, , the latest
取り消し, とりけし, , cancel
君, くん/きみ, , kun/kimi
わけない, , , there is no way that...
機会, きかい, , chance
さり気ない, さりげなり, , casually/nonchalantly
場所, ばしょ, , location/spot
それと無く, それとなく, , obliquely/indirectly
今度, こんど, , this time/now/next time/recently
誘う, さそう, , to invite/to take along/to tempt
連絡, れんらく, , contacting
百, ひゃく, , hundred
祖母, そぼ, , grandma
僕, ぼく, , I(male)
欲しい, ほしい, , want/desire
真っ直ぐ, まっすぐ, , straight ahead
用事, ようじ, , tasks/things to do/engagement
絶対, ぜったい, , absolutely
部, ぶ, , club
第三, だいさん, , the third
放課後, ほうかご, , after school
調子, ちょうし, , mood/condition
無意味, むいみ, , pointless/nonsense
無駄, むだ, , futility
努力, どりょく, , effort/exertion/endeavor
無くなる, なくなる, , to be missing/lost
活動, かつどう, , activity(of a person/organization/animal/volcano etc.)
競技, きょうぎ, , competition/contest/game/match
参加, さんか, , participation
止める, やめる, , to stop
学期, がっき, , school term
青い, あおい, , blue
活, かつ, , life/activity
技, ぎ, , skill/art/craft
競, , キョウ, compete/race/bid/emulate
加, くわ, カ, addition
出かける, でかける, , to go out(on an excursion or outing)/leave/set out
機, き, , chance
手間取る, てまどる, , to take more time than expected/be delayed
並木, なみき, , roadside tree/row of trees
お腹, おなか, , belly/abdomen
恋愛, れんあい, , love/love-making/passion/falling in love
恋, こい, レン, romance/in love/yearn for/miss/darling
小説, しょうせつ, , novel/short-story
場面, ばめん, , scene/scenario/case
憧れ, あこがれ, , yearning/aspiration/longing/adoration/admiration
バッチリ, , , bang on!
印象, いんしょう, , impression
印, しるし, イン, stamp
象, かたど・る, ショウ, elephant/pattern/image
与える, あたえる, , to give/bestow/participate in
お手洗い, おてあらい, , toilet/bathroom
ご主人, ごしゅじん, , (your) husband
柿, かき, , persimmon
実, み, ジツ, reality/truth/seed/fruit/nut
貸, かす, タイ, lend
刻, きざむ, コク, engrave/cut fine/chop/mince/time/carving
刻む, きざむ, , to mince/carve
見つかる, みつかる, , to be caught/found
根, ね, コン, root/radical/head
警, いまし・める, ケイ, admonish/commandment
戒, いまし・める, カイ, commandment
類, たぐ・い, ルイ, sort/type/genus
室, むろ, シツ, room
地, , チ/ジ, ground/earth
庭, にわ, テイ, courtyard/garden/yard
題, , ダイ, topic
問, と・う/と・い/とん, モン, question/ask/problem
開発, かいはつ, , development
開, ひら・く, カイ, open/unfold/unseal
発, , ハツ, departure/discharge/publish/emit
住民, じゅうみん, , inhabitant
住, す・む, ジュウ, dwell/reside/live
民, たみ, ミン, people/nation/subjects
犯, おか・す, ハン, crime
反対, はんたい, , opposition
反, , ハン, anti-
対, , タイ, vis-a-vis/opposite/even/equal
企業, きぎょう, , company/business
企, , キ, undertake/design/scheme/attempt/plan
業, , ギョウ, business/vocation/arts/performance
行う, おこなう, , do/undertake
現在, げんざい, , the present/present time
現, , ゲン, present/existing/actual
在, , ザイ, exist/outskirts/suburbs/located in
度, ど, , degree(angle/temperature/etc.)
利用, りよう, , utilization/usage
利, , リ, profit/advantage/benefit
用, , ヨウ, utilize/business/service/use/employ
首相, しゅしょう, , prime minister
政府, せいふ, , government
発表, はっぴょう, , announcement
相, , ショウ/ソウ, minister of state/councillor/inter-/mutual/together
政, , セイ, politics
府, , フ, borough/urban prefecture/govt office
一層, いっそう, , much more
昨年, さくねん, , last year
地震, じしん, , earthquake
情報, じようほう, , information
情, , ジョウ, feelings/emotion/passion/sympathy/circumstances/facts
報, , ホウ, report/news/reward/retribution
表, , ヒョウ, surface/table/chart/diagram
表情, ひょうじょう, , facial expression
集める, あつめる, , to gather/collect
示す, しめす, , show/indicate
製品, せいひん, , product
興味, きょうみ, , interest
建設, けんせつ, , construction/building
販売, はんばい, , sale/selling
券, , ケン, ticket
治る, なおる, , to be cured/get well
関, , カン, connection/barrier/gateway
けが, , , injury
機能, きのう, , function/feature
販, , ハン, marketing/sell/trade
研, , ケン, polish/study of/sharpen
究, , キュウ, research/study
一方, いっぽう, , one way
通行, つうこう, , traffic
停止, ていし, , stoppage/coming to a stop
停, と・まる, テイ, stop/halt
頃, ころ, ケイ/キョウ, time/about/toward
対する, たいする, , to face/be in response to
特, , トク, special
最近, さいきん, , lately
話題, わだい, , topic
今後, こんご, , after this/in the future
緊, , キン, tense/solid/hard/reliable/tight
急, , キュウ, hurry/emergency/sudden/steep
宣, , セン, proclaim/say/announce
言, , ゲン, say/word
用いる, もちいる, , to make use of
伝える, つたえる, , to convey/report/transmit
詩, , シ, poem/poetry
語, かた・る, ゴ, word/speech/language
中心, ちゅうしん, , center/middle
餌, えさ, , feed(animal)/fodder/bait
立てる, たてる, , to stand up/put up/set up
影響, えいきょう, , influence
練, , レン, practice/gloss/train/drill/polish
習, , シュウ, learn
奇, , キ, strange/strangeness/curiosity
麗, , レイ, lovely/beautiful/graceful
影, , エイ, shadow/silhouette/phantom
響, , キョウ, echo/sound/resound/ring/vibrate
選ぶ, えらぶ, , to select/choose
経済, けいざい, , economy/economics
経, , ケイ, sutra/longitude/pass/thru/expire/warp
済, , サイ, settle(debt etc.)/relieve(burden)
導入, どうにゅう, , introduction
導, , ドウ, guidance/leading/conduct/usher
宇, , ウ, eaves/roof/house/heaven
宙, , チュウ, mid-air/air/space/sky/memorization/interval of time
希, , キ, hope/beg/request/pray/beseech
望, , ボウ, ambition/full moon/hope/desire/aspire to/expect
望む, のぞむ, , to desire/wish for/expect/see/command a view of
製, , セイ, made in..
品, , ヒン, goods/refinement/dignity/article/counter for meal courses
生活, せいかつ, , life/living
進める, すすめる, , to advance/promote
続ける, つずける, , to continue/keep up
所, ところ, ショ, place/extent
芸, , ゲイ, technique/art/craft/performance/acting/trick/stunt
術, , ジュツ, art/technique/skill/means/trick/resources/magic
国内, こくない, , domestic/internal
分野, ぶんや, , field/sphere
音楽, おんがく, , music
勤める, つとめる, , to work for/be employed at
関する, かんする, , to concern/relate to
記事, きじ, , article
状態, じょうたい, , state/appearance
大統領, だいとうりょう, , president
予, , ヨ, beforehand/previous/myself/I
定, , テイ, determine/fix/establish/decide
状, , ジョウ, status quo/conditions/circumstances/form/appearance
統, , トウ, overall/relationship/ruling/governing
領, , リョウ, jurisdiction/dominion/territory/fief/reign
対象, たいしょう, , target/object
処理, しょり, , management/process
女性, じょせい, , woman/female
台, , ダイ, counter for machines and vehicles
解決, かいけつ, , solution/settlement
やっと, , , finally
実現, じつげん, , implementation/realization
能, , ノウ, ability/talent/skill/capacity
夢, ゆめ, , dream
海外, かいがい, , foreign/abroad/overseas
価格, かかく, , price/cost
解, , カイ, unravel/notes/explanation/key/understanding
決, き・める, ケツ, decide/fix/agree upon/appoint
上がる, あがる, , go up/rise
価, , カ, value/price
値, あたい, , value/worth/merit/price/cost
格, , カク, status/rank/capacity/character/case(grammar/law)
野, , ヤ, plains/fields/rustic/civilian life
野菜, やさい, , vegetable
菜, な, サイ, vegetable/side dish/greens
面白い, おもしろい, , interesting
面, おも, メン, mask/features/face/surface
面接, めんせつ, , interview(for a job)
初めて, はじめて, , for the first time
明らか, あきらか, , clear/obvious
一部, いちぶ, , part
変更, へんこう, , change/modification/alteration
調査, ちょうさ, , investigation/inquiry
党, とう, , political party
